Item,context_1,context1_file,context_2,context2_file,image,utterance,utterance_file,condition,question,ca,question type,list
27,Mia wollte vor dem Mittagessen zwei Dinge erledigen.,mia_mi.wav,Wie weit ist sie gekommen?,wie_f.wav,hedge_root.png,Mia hat nur die Hecke nicht gepflanzt.,mia_nur_i3_o1_neg_f.wav,only not,,,,3
28,Noah wollte vor dem Mittagessen zwei Dinge erledigen.,noah_mi.wav,Wie weit ist er gekommen?,wie_m.wav,tire_lawn.png,Noah hat nur die Gras nicht zugezogen.,noah_nur_i4_o2_neg_m.wav,only not,,,,3
29,Leon wollte am Morgen zwei Dinge erledigen.,leon_mo.wav,Was hat er alles geschafft?,was_m.wav,blouse_pot.png,Leon hat nur die Kanne nicht poliert.,leon_nur_i5_o2_neg_m.wav,only not,,,,3
30,Noah wollte vor dem Abendbrot zwei Dinge erledigen.,noah_ab.wav,Wie weit ist er gekommen?,wie_m.wav,can_melon.png,Noah hat nur die Melone nicht eingerollt.,noah_nur_i6_o2_neg_m.wav,only not,,,,3
31,Fine wollte am Morgen zwei Dinge erledigen.,fine_mo.wav,Was hat sie alles geschafft?,was_f.wav,banana_cake.png,Fine hat auch die Banane nicht geschaelt.,fine_auch_i1_o1_neg_f.wav,also not,,,,3
32,Mia wollte vor dem Abendbrot zwei Dinge erledigen.,mia_ab.wav,Wie weit ist sie gekommen?,wie_f.wav,board_roof.png,Mia hat auch die Brett nicht angezuendet.,mia_auch_i2_o2_neg_f.wav,also not,,,,3
33,Fine wollte am Nachmittag zwei Dinge erledigen.,fine_na.wav,Was hat sie alles geschafft?,was_f.wav,hedge_root.png,Fine hat auch die Rübe nicht gestutzt.,fine_auch_i3_o2_neg_f.wav,also not,Hat Fine die Rübe geerntet?,0,explicit,3
34,Leon wollte am Nachmittag zwei Dinge erledigen.,leon_na.wav,Was hat er alles geschafft?,was_m.wav,tire_lawn.png,Leon hat auch die Rad nicht geschlossen.,leon_auch_i4_o1_neg_m.wav,also not,Hat Leon das Gras gemäht?,0,implicit,3
35,Noah wollte vor dem Mittagessen zwei Dinge erledigen.,noah_mi.wav,Wie weit ist er gekommen?,wie_m.wav,blouse_pot.png,Noah hat auch die Bluse nicht gebuegelt.,noah_auch_i5_o1_neg_m.wav,also not,,,,3
36,Leon wollte am Morgen zwei Dinge erledigen.,leon_mo.wav,Was hat er alles geschafft?,was_m.wav,can_melon.png,Leon hat auch die Dose nicht geoeffnet.,leon_auch_i6_o1_neg_m.wav,also not,,,,3
37,Mia wollte vor dem Abendbrot zwei Dinge erledigen.,mia_ab.wav,Wie weit ist sie gekommen?,wie_f.wav,banana_cake.png,I don’t know what she has done. ,dk_f.wav,dtk,,,,3
38,Fine wollte am Nachmittag zwei Dinge erledigen.,fine_na.wav,Was hat sie alles geschafft?,was_f.wav,board_roof.png,I don’t know what she has done. ,dk_f.wav,dtk,,,,3
39,Mia wollte vor dem Mittagessen zwei Dinge erledigen.,mia_mi.wav,Wie weit ist sie gekommen?,wie_f.wav,hedge_root.png,I don’t know what she has done. ,dk_f.wav,dtk,Hat Mia die Hecke gestuzt?,-1,implicit,3
40,Noah wollte vor dem Mittagessen zwei Dinge erledigen.,noah_mi.wav,Wie weit ist er gekommen?,wie_m.wav,tire_lawn.png,I don’t know what he has done. ,dk_m.wav,dtk,,,,3
41,Leon wollte am Morgen zwei Dinge erledigen.,leon_mo.wav,Was hat er alles geschafft?,was_m.wav,blouse_pot.png,I don’t know what he has done. ,dk_m.wav,dtk,Hat Leon die Kanne gereinigt?,-1,implicit,3
42,Noah wollte vor dem Abendbrot zwei Dinge erledigen.,noah_ab.wav,Wie weit ist er gekommen?,wie_m.wav,can_melon.png,I don’t know what he has done. ,dk_m.wav,dtk,,,,3
